repo_name,status,classification,openrank_2505,stars,forks,language,created_at,description,repo_id,,,,,,,,,,,,,,,,,,
unslothai/unsloth,,Post-train,111,40690,3240,Python,2023-11-29,"Fine-tuning & Reinforcement Learning for LLMs. 🦥 Train Qwen3, Llama 4, DeepSeek-R1, Gemma 3, TTS 2x faster with 70% less VRAM.",725205304,,,,,,,,,,,,,,,,,,unslothai/unsloth
volcengine/verl,,Post-train,106,9602,1447,Python,2024-10-31,verl: Volcano Engine Reinforcement Learning for LLMs,881221486,,,,,,,,,,,,,,,,,,volcengine/verl
OpenRLHF/OpenRLHF,-,Post-train,40,7105,689,Python,2023-07-30,"An Easy-to-use, Scalable and High-performance RLHF Framework based on Ray (PPO & GRPO & REINFORCE++ & vLLM & Ray & Dynamic Sampling & Async Agent RL)",672415139,,,,,,,,,,,,,,,,,,OpenRLHF/OpenRLHF
Farama-Foundation/Gymnasium,x,Post-train,10,9416,1039,Python,2022-09-08,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related utilities (formerly Gym)",534011733,,,,,,,,,,,,,,,,,,Farama-Foundation/Gymnasium
pytorch/pytorch,,Pre-train,924,90854,24458,Python,2016-08-13,Tensors and Dynamic neural networks in Python with strong GPU acceleration,65600975,,,,,,,,,,,,,,,,,,pytorch/pytorch
PaddlePaddle/Paddle,,Pre-train,214,22871,5747,C++,2016-08-15,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）,65711522,,,,,,,,,,,,,,,,,,PaddlePaddle/Paddle
NVIDIA/NeMo,,Pre-train,199,14834,2940,Python,2019-08-05,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)",200722670,,,,,,,,,,,,,,,,,,NVIDIA/NeMo
jax-ml/jax,,Pre-train,100,32556,3063,Python,2018-10-25,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more",154739597,,,,,,,,,,,,,,,,,,jax-ml/jax
tensorflow/tensorflow,x,Pre-train,75,190392,74702,C++,2015-11-07,An Open Source Machine Learning Framework for Everyone,45717250,,,,,,,,,,,,,,,,,,tensorflow/tensorflow
keras-team/keras,x,Pre-train,60,63132,19582,Python,2015-03-28,Deep Learning for humans,33015583,,,,,,,,,,,,,,,,,,keras-team/keras
deepspeedai/DeepSpeed,,Pre-train,57,38978,4422,Python,2020-01-23,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",235860204,,,,,,,,,,,,,,,,,,deepspeedai/DeepSpeed
NVIDIA/Megatron-LM,,Pre-train,20,12595,2853,Python,2019-03-21,Ongoing research training transformer models at scale,176982014,,,,,,,,,,,,,,,,,,NVIDIA/Megatron-LM
hpcaitech/ColossalAI,x,Pre-train,17,40974,4522,Python,2021-10-28,"Making large AI models cheaper, faster and more accessible",422274596,,,,,,,,,,,,,,,,,,hpcaitech/ColossalAI
comfyanonymous/ComfyUI,,Tool use,154,79943,8842,Python,2023-01-17,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",589831718,,,,,,,,,,,,,,,,,,comfyanonymous/ComfyUI
vercel/ai,,Tool use,115,15008,2398,TypeScript,2023-05-23,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents",644461337,,,,,,,,,,,,,,,,,,vercel/ai
browser-use/browser-use,,Tool use,100,63407,7179,Python,2024-10-31,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,881458615,,,,,,,,,,,,,,,,,,browser-use/browser-use
microsoft/OmniParser,x,Tool use,16,22452,1886,Jupyter Notebook,2024-09-20,A simple screen parsing tool towards pure vision based GUI agent,860252770,,,,,,,,,,,,,,,,,,microsoft/OmniParser
open-metadata/OpenMetadata,,Unstructured Data Governance - Catalog,118,6907,1268,TypeScript,2021-08-01,"OpenMetadata is a unified metadata platform for data discovery, data observability, and data governance powered by a central metadata repository, in-depth column level lineage, and seamless team collaboration.",391740664,,,,,,,,,,,,,,,,,,open-metadata/OpenMetadata
datahub-project/datahub,,Unstructured Data Governance - Catalog,98,10730,3135,Java,2015-11-18,The Metadata Platform for your Data and AI Stack,46398090,,,,,,,,,,,,,,,,,,datahub-project/datahub
apache/gravitino,,Unstructured Data Governance - Catalog,81,1643,497,Java,2023-04-23,"World's most powerful open data catalog for building a high-performance, geo-distributed and federated metadata lake.",631431061,,,,,,,,,,,,,,,,,,apache/gravitino
